SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,AODV,27
1,3224,403,10,AODV,27
2,4448,556,10,AODV,27
3,3912,489,10,AODV,27
4,4104,513,10,AODV,27
5,3440,430,10,AODV,27
6,4536,567,10,AODV,27
7,3560,445,10,AODV,27
8,3720,465,10,AODV,27
9,3752,469,10,AODV,27
10,4400,550,10,AODV,27
11,2736,342,10,AODV,27
12,3344,418,10,AODV,27
13,1536,192,10,AODV,27
14,3040,380,10,AODV,27
15,3128,391,10,AODV,27
16,3944,493,10,AODV,27
17,4536,567,10,AODV,27
18,4648,581,10,AODV,27
19,5240,655,10,AODV,27
20,4560,570,10,AODV,27
21,4672,584,10,AODV,27
22,3080,385,10,AODV,27
23,4752,594,10,AODV,27
24,4808,601,10,AODV,27
25,4464,558,10,AODV,27
26,3080,385,10,AODV,27
27,3848,481,10,AODV,27
28,3472,434,10,AODV,27
29,3880,485,10,AODV,27
30,4752,594,10,AODV,27
31,3976,497,10,AODV,27
32,3800,475,10,AODV,27
33,3696,462,10,AODV,27
34,4216,527,10,AODV,27
35,4408,551,10,AODV,27
36,3960,495,10,AODV,27
37,4736,592,10,AODV,27
38,3992,499,10,AODV,27
39,2992,374,10,AODV,27
40,4152,519,10,AODV,27
41,4072,509,10,AODV,27
42,4208,526,10,AODV,27
43,5112,639,10,AODV,27
44,3048,381,10,AODV,27
45,2264,283,10,AODV,27
46,4680,585,10,AODV,27
47,4344,543,10,AODV,27
48,3536,442,10,AODV,27
49,4152,519,10,AODV,27
50,4328,541,10,AODV,27
51,3728,466,10,AODV,27
52,3456,432,10,AODV,27
53,2688,336,10,AODV,27
54,2536,317,10,AODV,27
55,3616,452,10,AODV,27
56,4328,541,10,AODV,27
57,4672,584,10,AODV,27
58,3528,441,10,AODV,27
59,4448,556,10,AODV,27
