SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,12,OLSR,27
1,0,0,12,OLSR,27
2,0,0,12,OLSR,27
3,3032,379,12,OLSR,27
4,4208,526,12,OLSR,27
5,3488,436,12,OLSR,27
6,4448,556,12,OLSR,27
7,4584,573,12,OLSR,27
8,4312,539,12,OLSR,27
9,3096,387,12,OLSR,27
10,2640,330,12,OLSR,27
11,2672,334,12,OLSR,27
12,2168,271,12,OLSR,27
13,1672,209,12,OLSR,27
14,1472,184,12,OLSR,27
15,1240,155,12,OLSR,27
16,1688,211,12,OLSR,27
17,1928,241,12,OLSR,27
18,2264,283,12,OLSR,27
19,2184,273,12,OLSR,27
20,2360,295,12,OLSR,27
21,2304,288,12,OLSR,27
22,2376,297,12,OLSR,27
23,2048,256,12,OLSR,27
24,1768,221,12,OLSR,27
25,1816,227,12,OLSR,27
26,1736,217,12,OLSR,27
27,1976,247,12,OLSR,27
28,1440,180,12,OLSR,27
29,1600,200,12,OLSR,27
30,1096,137,12,OLSR,27
31,1296,162,12,OLSR,27
32,1872,234,12,OLSR,27
33,2552,319,12,OLSR,27
34,2280,285,12,OLSR,27
35,2264,283,12,OLSR,27
36,2992,374,12,OLSR,27
37,2656,332,12,OLSR,27
38,3016,377,12,OLSR,27
39,2432,304,12,OLSR,27
40,2464,308,12,OLSR,27
41,2808,351,12,OLSR,27
42,2576,322,12,OLSR,27
43,2240,280,12,OLSR,27
44,2288,286,12,OLSR,27
45,1464,183,12,OLSR,27
46,1432,179,12,OLSR,27
47,1280,160,12,OLSR,27
48,2384,298,12,OLSR,27
49,1920,240,12,OLSR,27
50,704,88,12,OLSR,27
51,1224,153,12,OLSR,27
52,1608,201,12,OLSR,27
53,1384,173,12,OLSR,27
54,1128,141,12,OLSR,27
55,1408,176,12,OLSR,27
56,1120,140,12,OLSR,27
57,1968,246,12,OLSR,27
58,3008,376,12,OLSR,27
59,3608,451,12,OLSR,27
