SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,7,DSR,27
1,0,0,7,DSR,27
2,1888,236,7,DSR,27
3,1992,249,7,DSR,27
4,2688,336,7,DSR,27
5,2688,336,7,DSR,27
6,2752,344,7,DSR,27
7,2640,330,7,DSR,27
8,2736,342,7,DSR,27
9,2680,335,7,DSR,27
10,2728,341,7,DSR,27
11,2808,351,7,DSR,27
12,2552,319,7,DSR,27
13,2280,285,7,DSR,27
14,2328,291,7,DSR,27
15,2176,272,7,DSR,27
16,1792,224,7,DSR,27
17,1616,202,7,DSR,27
18,1760,220,7,DSR,27
19,1888,236,7,DSR,27
20,2072,259,7,DSR,27
21,1896,237,7,DSR,27
22,1592,199,7,DSR,27
23,1504,188,7,DSR,27
24,1456,182,7,DSR,27
25,1744,218,7,DSR,27
26,1864,233,7,DSR,27
27,1232,154,7,DSR,27
28,1344,168,7,DSR,27
29,1568,196,7,DSR,27
30,1448,181,7,DSR,27
31,1744,218,7,DSR,27
32,1920,240,7,DSR,27
33,2440,305,7,DSR,27
34,1792,224,7,DSR,27
35,2480,310,7,DSR,27
36,2264,283,7,DSR,27
37,1928,241,7,DSR,27
38,2632,329,7,DSR,27
39,2168,271,7,DSR,27
40,1912,239,7,DSR,27
41,1896,237,7,DSR,27
42,1960,245,7,DSR,27
43,2064,258,7,DSR,27
44,2192,274,7,DSR,27
45,1592,199,7,DSR,27
46,1472,184,7,DSR,27
47,1640,205,7,DSR,27
48,1552,194,7,DSR,27
49,1936,242,7,DSR,27
50,2032,254,7,DSR,27
51,1640,205,7,DSR,27
52,1384,173,7,DSR,27
53,1312,164,7,DSR,27
54,1400,175,7,DSR,27
55,2008,251,7,DSR,27
56,3624,453,7,DSR,27
57,3920,490,7,DSR,27
58,3760,470,7,DSR,27
59,3648,456,7,DSR,27
