SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,27
1,2744,343,5,AODV,27
2,3432,429,5,AODV,27
3,3040,380,5,AODV,27
4,2792,349,5,AODV,27
5,2800,350,5,AODV,27
6,3224,403,5,AODV,27
7,3208,401,5,AODV,27
8,3000,375,5,AODV,27
9,3728,466,5,AODV,27
10,3568,446,5,AODV,27
11,2896,362,5,AODV,27
12,3040,380,5,AODV,27
13,3240,405,5,AODV,27
14,3992,499,5,AODV,27
15,4016,502,5,AODV,27
16,4008,501,5,AODV,27
17,3984,498,5,AODV,27
18,4016,502,5,AODV,27
19,3984,498,5,AODV,27
20,4016,502,5,AODV,27
21,3992,499,5,AODV,27
22,4008,501,5,AODV,27
23,3248,406,5,AODV,27
24,4752,594,5,AODV,27
25,4000,500,5,AODV,27
26,3240,405,5,AODV,27
27,3456,432,5,AODV,27
28,4328,541,5,AODV,27
29,4088,511,5,AODV,27
30,3424,428,5,AODV,27
31,3896,487,5,AODV,27
32,3704,463,5,AODV,27
33,4352,544,5,AODV,27
34,4120,515,5,AODV,27
35,4120,515,5,AODV,27
36,4016,502,5,AODV,27
37,4640,580,5,AODV,27
38,4008,501,5,AODV,27
39,4184,523,5,AODV,27
40,4136,517,5,AODV,27
41,4456,557,5,AODV,27
42,4376,547,5,AODV,27
43,4376,547,5,AODV,27
44,3600,450,5,AODV,27
45,3800,475,5,AODV,27
46,4336,542,5,AODV,27
47,3984,498,5,AODV,27
48,4336,542,5,AODV,27
49,4208,526,5,AODV,27
50,4480,560,5,AODV,27
51,4152,519,5,AODV,27
52,4592,574,5,AODV,27
53,4320,540,5,AODV,27
54,4000,500,5,AODV,27
55,4000,500,5,AODV,27
56,4000,500,5,AODV,27
57,4000,500,5,AODV,27
58,4000,500,5,AODV,27
59,4000,500,5,AODV,27
