SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,OLSR,27
1,0,0,5,OLSR,27
2,0,0,5,OLSR,27
3,1576,197,5,OLSR,27
4,2504,313,5,OLSR,27
5,3312,414,5,OLSR,27
6,2936,367,5,OLSR,27
7,2928,366,5,OLSR,27
8,3752,469,5,OLSR,27
9,4304,538,5,OLSR,27
10,3520,440,5,OLSR,27
11,3424,428,5,OLSR,27
12,4728,591,5,OLSR,27
13,4928,616,5,OLSR,27
14,3160,395,5,OLSR,27
15,2544,318,5,OLSR,27
16,3552,444,5,OLSR,27
17,4824,603,5,OLSR,27
18,3288,411,5,OLSR,27
19,4504,563,5,OLSR,27
20,5064,633,5,OLSR,27
21,4480,560,5,OLSR,27
22,3584,448,5,OLSR,27
23,4272,534,5,OLSR,27
24,3320,415,5,OLSR,27
25,3272,409,5,OLSR,27
26,3840,480,5,OLSR,27
27,5120,640,5,OLSR,27
28,2920,365,5,OLSR,27
29,3352,419,5,OLSR,27
30,2616,327,5,OLSR,27
31,5208,651,5,OLSR,27
32,4336,542,5,OLSR,27
33,3456,432,5,OLSR,27
34,2160,270,5,OLSR,27
35,3072,384,5,OLSR,27
36,2808,351,5,OLSR,27
37,4448,556,5,OLSR,27
38,4304,538,5,OLSR,27
39,3560,445,5,OLSR,27
40,4304,538,5,OLSR,27
41,3912,489,5,OLSR,27
42,3584,448,5,OLSR,27
43,4576,572,5,OLSR,27
44,3920,490,5,OLSR,27
45,3440,430,5,OLSR,27
46,3136,392,5,OLSR,27
47,3744,468,5,OLSR,27
48,3360,420,5,OLSR,27
49,4248,531,5,OLSR,27
50,4040,505,5,OLSR,27
51,4720,590,5,OLSR,27
52,4472,559,5,OLSR,27
53,5176,647,5,OLSR,27
54,4240,530,5,OLSR,27
55,4160,520,5,OLSR,27
56,5520,690,5,OLSR,27
57,4712,589,5,OLSR,27
58,5056,632,5,OLSR,27
59,4208,526,5,OLSR,27
