SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,7,OLSR,27
1,0,0,7,OLSR,27
2,0,0,7,OLSR,27
3,2592,324,7,OLSR,27
4,3000,375,7,OLSR,27
5,3336,417,7,OLSR,27
6,3848,481,7,OLSR,27
7,3200,400,7,OLSR,27
8,3232,404,7,OLSR,27
9,2512,314,7,OLSR,27
10,1368,171,7,OLSR,27
11,1808,226,7,OLSR,27
12,2864,358,7,OLSR,27
13,3344,418,7,OLSR,27
14,3504,438,7,OLSR,27
15,3528,441,7,OLSR,27
16,3376,422,7,OLSR,27
17,2424,303,7,OLSR,27
18,2104,263,7,OLSR,27
19,1544,193,7,OLSR,27
20,1088,136,7,OLSR,27
21,1552,194,7,OLSR,27
22,2000,250,7,OLSR,27
23,3256,407,7,OLSR,27
24,2992,374,7,OLSR,27
25,3080,385,7,OLSR,27
26,2872,359,7,OLSR,27
27,2472,309,7,OLSR,27
28,3048,381,7,OLSR,27
29,3448,431,7,OLSR,27
30,3392,424,7,OLSR,27
31,3168,396,7,OLSR,27
32,3104,388,7,OLSR,27
33,3184,398,7,OLSR,27
34,3128,391,7,OLSR,27
35,3648,456,7,OLSR,27
36,4008,501,7,OLSR,27
37,2928,366,7,OLSR,27
38,2864,358,7,OLSR,27
39,2840,355,7,OLSR,27
40,3520,440,7,OLSR,27
41,2344,293,7,OLSR,27
42,2784,348,7,OLSR,27
43,2712,339,7,OLSR,27
44,2736,342,7,OLSR,27
45,2168,271,7,OLSR,27
46,1944,243,7,OLSR,27
47,1872,234,7,OLSR,27
48,2832,354,7,OLSR,27
49,2472,309,7,OLSR,27
50,3504,438,7,OLSR,27
51,3936,492,7,OLSR,27
52,3656,457,7,OLSR,27
53,4040,505,7,OLSR,27
54,3992,499,7,OLSR,27
55,4360,545,7,OLSR,27
56,4488,561,7,OLSR,27
57,3824,478,7,OLSR,27
58,3056,382,7,OLSR,27
59,3200,400,7,OLSR,27
