SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,DSR,27
1,0,0,10,DSR,27
2,712,89,10,DSR,27
3,1584,198,10,DSR,27
4,1968,246,10,DSR,27
5,2000,250,10,DSR,27
6,1992,249,10,DSR,27
7,1400,175,10,DSR,27
8,2872,359,10,DSR,27
9,1416,177,10,DSR,27
10,1104,138,10,DSR,27
11,1248,156,10,DSR,27
12,1288,161,10,DSR,27
13,1536,192,10,DSR,27
14,1544,193,10,DSR,27
15,992,124,10,DSR,27
16,1672,209,10,DSR,27
17,1112,139,10,DSR,27
18,680,85,10,DSR,27
19,624,78,10,DSR,27
20,1272,159,10,DSR,27
21,1256,157,10,DSR,27
22,1376,172,10,DSR,27
23,1848,231,10,DSR,27
24,1512,189,10,DSR,27
25,960,120,10,DSR,27
26,600,75,10,DSR,27
27,1304,163,10,DSR,27
28,1832,229,10,DSR,27
29,2336,292,10,DSR,27
30,1416,177,10,DSR,27
31,1576,197,10,DSR,27
32,1552,194,10,DSR,27
33,1360,170,10,DSR,27
34,760,95,10,DSR,27
35,1248,156,10,DSR,27
36,1016,127,10,DSR,27
37,1288,161,10,DSR,27
38,1136,142,10,DSR,27
39,472,59,10,DSR,27
40,656,82,10,DSR,27
41,576,72,10,DSR,27
42,736,92,10,DSR,27
43,1104,138,10,DSR,27
44,1152,144,10,DSR,27
45,504,63,10,DSR,27
46,1056,132,10,DSR,27
47,1096,137,10,DSR,27
48,624,78,10,DSR,27
49,864,108,10,DSR,27
50,1064,133,10,DSR,27
51,496,62,10,DSR,27
52,824,103,10,DSR,27
53,1000,125,10,DSR,27
54,792,99,10,DSR,27
55,1056,132,10,DSR,27
56,1320,165,10,DSR,27
57,728,91,10,DSR,27
58,720,90,10,DSR,27
59,760,95,10,DSR,27
