SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,12,DSR,27
1,0,0,12,DSR,27
2,1128,141,12,DSR,27
3,2032,254,12,DSR,27
4,2000,250,12,DSR,27
5,1984,248,12,DSR,27
6,1992,249,12,DSR,27
7,1968,246,12,DSR,27
8,1944,243,12,DSR,27
9,2472,309,12,DSR,27
10,3000,375,12,DSR,27
11,2968,371,12,DSR,27
12,2960,370,12,DSR,27
13,2952,369,12,DSR,27
14,2984,373,12,DSR,27
15,2992,374,12,DSR,27
16,2976,372,12,DSR,27
17,2904,363,12,DSR,27
18,2960,370,12,DSR,27
19,2944,368,12,DSR,27
20,2936,367,12,DSR,27
21,2928,366,12,DSR,27
22,2896,362,12,DSR,27
23,2888,361,12,DSR,27
24,2840,355,12,DSR,27
25,2800,350,12,DSR,27
26,2808,351,12,DSR,27
27,2680,335,12,DSR,27
28,2896,362,12,DSR,27
29,3024,378,12,DSR,27
30,3192,399,12,DSR,27
31,3296,412,12,DSR,27
32,3016,377,12,DSR,27
33,3136,392,12,DSR,27
34,3216,402,12,DSR,27
35,3168,396,12,DSR,27
36,3520,440,12,DSR,27
37,4096,512,12,DSR,27
38,4080,510,12,DSR,27
39,4048,506,12,DSR,27
40,4144,518,12,DSR,27
41,4200,525,12,DSR,27
42,3984,498,12,DSR,27
43,4072,509,12,DSR,27
44,4096,512,12,DSR,27
45,4072,509,12,DSR,27
46,4096,512,12,DSR,27
47,4200,525,12,DSR,27
48,3880,485,12,DSR,27
49,4072,509,12,DSR,27
50,4152,519,12,DSR,27
51,4104,513,12,DSR,27
52,3504,438,12,DSR,27
53,4016,502,12,DSR,27
54,3928,491,12,DSR,27
55,3624,453,12,DSR,27
56,3440,430,12,DSR,27
57,4320,540,12,DSR,27
58,4400,550,12,DSR,27
59,4400,550,12,DSR,27
