SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,7,DSR,27
1,944,118,7,DSR,27
2,1000,125,7,DSR,27
3,1264,158,7,DSR,27
4,1736,217,7,DSR,27
5,2224,278,7,DSR,27
6,1936,242,7,DSR,27
7,1216,152,7,DSR,27
8,2328,291,7,DSR,27
9,2704,338,7,DSR,27
10,2920,365,7,DSR,27
11,3824,478,7,DSR,27
12,2936,367,7,DSR,27
13,1808,226,7,DSR,27
14,1360,170,7,DSR,27
15,1360,170,7,DSR,27
16,1888,236,7,DSR,27
17,2216,277,7,DSR,27
18,1104,138,7,DSR,27
19,1448,181,7,DSR,27
20,2016,252,7,DSR,27
21,1896,237,7,DSR,27
22,2440,305,7,DSR,27
23,2688,336,7,DSR,27
24,3304,413,7,DSR,27
25,2704,338,7,DSR,27
26,1664,208,7,DSR,27
27,1760,220,7,DSR,27
28,1216,152,7,DSR,27
29,1032,129,7,DSR,27
30,1296,162,7,DSR,27
31,864,108,7,DSR,27
32,1528,191,7,DSR,27
33,1592,199,7,DSR,27
34,1064,133,7,DSR,27
35,1048,131,7,DSR,27
36,1480,185,7,DSR,27
37,2000,250,7,DSR,27
38,1648,206,7,DSR,27
39,528,66,7,DSR,27
40,2080,260,7,DSR,27
41,2472,309,7,DSR,27
42,1960,245,7,DSR,27
43,1664,208,7,DSR,27
44,1344,168,7,DSR,27
45,424,53,7,DSR,27
46,808,101,7,DSR,27
47,560,70,7,DSR,27
48,1016,127,7,DSR,27
49,1280,160,7,DSR,27
50,600,75,7,DSR,27
51,1080,135,7,DSR,27
52,1248,156,7,DSR,27
53,840,105,7,DSR,27
54,952,119,7,DSR,27
55,1504,188,7,DSR,27
56,1512,189,7,DSR,27
57,936,117,7,DSR,27
58,904,113,7,DSR,27
59,1008,126,7,DSR,27
