SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,12,DSR,27
1,0,0,12,DSR,27
2,808,101,12,DSR,27
3,1600,200,12,DSR,27
4,1936,242,12,DSR,27
5,1928,241,12,DSR,27
6,1576,197,12,DSR,27
7,864,108,12,DSR,27
8,744,93,12,DSR,27
9,1616,202,12,DSR,27
10,1616,202,12,DSR,27
11,1944,243,12,DSR,27
12,2256,282,12,DSR,27
13,648,81,12,DSR,27
14,440,55,12,DSR,27
15,832,104,12,DSR,27
16,1488,186,12,DSR,27
17,1808,226,12,DSR,27
18,1400,175,12,DSR,27
19,576,72,12,DSR,27
20,792,99,12,DSR,27
21,824,103,12,DSR,27
22,552,69,12,DSR,27
23,824,103,12,DSR,27
24,976,122,12,DSR,27
25,472,59,12,DSR,27
26,728,91,12,DSR,27
27,704,88,12,DSR,27
28,480,60,12,DSR,27
29,784,98,12,DSR,27
30,768,96,12,DSR,27
31,576,72,12,DSR,27
32,384,48,12,DSR,27
33,752,94,12,DSR,27
34,680,85,12,DSR,27
35,856,107,12,DSR,27
36,536,67,12,DSR,27
37,584,73,12,DSR,27
38,768,96,12,DSR,27
39,560,70,12,DSR,27
40,592,74,12,DSR,27
41,920,115,12,DSR,27
42,504,63,12,DSR,27
43,584,73,12,DSR,27
44,1136,142,12,DSR,27
45,1080,135,12,DSR,27
46,952,119,12,DSR,27
47,1032,129,12,DSR,27
48,416,52,12,DSR,27
49,312,39,12,DSR,27
50,504,63,12,DSR,27
51,320,40,12,DSR,27
52,1080,135,12,DSR,27
53,512,64,12,DSR,27
54,448,56,12,DSR,27
55,728,91,12,DSR,27
56,848,106,12,DSR,27
57,872,109,12,DSR,27
58,800,100,12,DSR,27
59,416,52,12,DSR,27
