SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,27
1,2304,288,5,AODV,27
2,2928,366,5,AODV,27
3,4480,560,5,AODV,27
4,3272,409,5,AODV,27
5,4352,544,5,AODV,27
6,5136,642,5,AODV,27
7,2880,360,5,AODV,27
8,3200,400,5,AODV,27
9,3584,448,5,AODV,27
10,3152,394,5,AODV,27
11,3224,403,5,AODV,27
12,4248,531,5,AODV,27
13,4456,557,5,AODV,27
14,3728,466,5,AODV,27
15,1704,213,5,AODV,27
16,3256,407,5,AODV,27
17,3184,398,5,AODV,27
18,3776,472,5,AODV,27
19,2144,268,5,AODV,27
20,3576,447,5,AODV,27
21,5096,637,5,AODV,27
22,4608,576,5,AODV,27
23,3224,403,5,AODV,27
24,4280,535,5,AODV,27
25,4064,508,5,AODV,27
26,4152,519,5,AODV,27
27,3944,493,5,AODV,27
28,2368,296,5,AODV,27
29,2360,295,5,AODV,27
30,1912,239,5,AODV,27
31,4280,535,5,AODV,27
32,4104,513,5,AODV,27
33,4336,542,5,AODV,27
34,1240,155,5,AODV,27
35,2336,292,5,AODV,27
36,3400,425,5,AODV,27
37,4544,568,5,AODV,27
38,4416,552,5,AODV,27
39,3632,454,5,AODV,27
40,4416,552,5,AODV,27
41,4048,506,5,AODV,27
42,3616,452,5,AODV,27
43,4648,581,5,AODV,27
44,3400,425,5,AODV,27
45,2840,355,5,AODV,27
46,4728,591,5,AODV,27
47,4256,532,5,AODV,27
48,3624,453,5,AODV,27
49,3928,491,5,AODV,27
50,3104,388,5,AODV,27
51,4088,511,5,AODV,27
52,3792,474,5,AODV,27
53,5096,637,5,AODV,27
54,4080,510,5,AODV,27
55,3648,456,5,AODV,27
56,4424,553,5,AODV,27
57,4712,589,5,AODV,27
58,5008,626,5,AODV,27
59,3736,467,5,AODV,27
