SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,12,AODV,27
1,2296,287,12,AODV,27
2,3968,496,12,AODV,27
3,3240,405,12,AODV,27
4,3368,421,12,AODV,27
5,3536,442,12,AODV,27
6,2568,321,12,AODV,27
7,3176,397,12,AODV,27
8,4936,617,12,AODV,27
9,4304,538,12,AODV,27
10,2960,370,12,AODV,27
11,2160,270,12,AODV,27
12,4664,583,12,AODV,27
13,3872,484,12,AODV,27
14,3640,455,12,AODV,27
15,4672,584,12,AODV,27
16,3184,398,12,AODV,27
17,2808,351,12,AODV,27
18,3768,471,12,AODV,27
19,2824,353,12,AODV,27
20,3056,382,12,AODV,27
21,3112,389,12,AODV,27
22,2024,253,12,AODV,27
23,4592,574,12,AODV,27
24,3792,474,12,AODV,27
25,2704,338,12,AODV,27
26,4176,522,12,AODV,27
27,4592,574,12,AODV,27
28,1368,171,12,AODV,27
29,2424,303,12,AODV,27
30,2128,266,12,AODV,27
31,2808,351,12,AODV,27
32,3592,449,12,AODV,27
33,1856,232,12,AODV,27
34,2232,279,12,AODV,27
35,2864,358,12,AODV,27
36,2776,347,12,AODV,27
37,3696,462,12,AODV,27
38,4856,607,12,AODV,27
39,4608,576,12,AODV,27
40,4960,620,12,AODV,27
41,3456,432,12,AODV,27
42,2704,338,12,AODV,27
43,3120,390,12,AODV,27
44,3592,449,12,AODV,27
45,3128,391,12,AODV,27
46,2176,272,12,AODV,27
47,4008,501,12,AODV,27
48,4072,509,12,AODV,27
49,2400,300,12,AODV,27
50,2968,371,12,AODV,27
51,3008,376,12,AODV,27
52,4824,603,12,AODV,27
53,4664,583,12,AODV,27
54,5456,682,12,AODV,27
55,4520,565,12,AODV,27
56,3712,464,12,AODV,27
57,3432,429,12,AODV,27
58,3632,454,12,AODV,27
59,3720,465,12,AODV,27
