SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,OLSR,27
1,0,0,10,OLSR,27
2,0,0,10,OLSR,27
3,2592,324,10,OLSR,27
4,3088,386,10,OLSR,27
5,2896,362,10,OLSR,27
6,3640,455,10,OLSR,27
7,2096,262,10,OLSR,27
8,3736,467,10,OLSR,27
9,3320,415,10,OLSR,27
10,4016,502,10,OLSR,27
11,4048,506,10,OLSR,27
12,4440,555,10,OLSR,27
13,2280,285,10,OLSR,27
14,2712,339,10,OLSR,27
15,2856,357,10,OLSR,27
16,3672,459,10,OLSR,27
17,3168,396,10,OLSR,27
18,3264,408,10,OLSR,27
19,4216,527,10,OLSR,27
20,4496,562,10,OLSR,27
21,2560,320,10,OLSR,27
22,1960,245,10,OLSR,27
23,3064,383,10,OLSR,27
24,3280,410,10,OLSR,27
25,2608,326,10,OLSR,27
26,2888,361,10,OLSR,27
27,2448,306,10,OLSR,27
28,2152,269,10,OLSR,27
29,3280,410,10,OLSR,27
30,3032,379,10,OLSR,27
31,3080,385,10,OLSR,27
32,3160,395,10,OLSR,27
33,2200,275,10,OLSR,27
34,3304,413,10,OLSR,27
35,2336,292,10,OLSR,27
36,3640,455,10,OLSR,27
37,3888,486,10,OLSR,27
38,3768,471,10,OLSR,27
39,3024,378,10,OLSR,27
40,2504,313,10,OLSR,27
41,3808,476,10,OLSR,27
42,5456,682,10,OLSR,27
43,4680,585,10,OLSR,27
44,3280,410,10,OLSR,27
45,2680,335,10,OLSR,27
46,3432,429,10,OLSR,27
47,3416,427,10,OLSR,27
48,2880,360,10,OLSR,27
49,2592,324,10,OLSR,27
50,2440,305,10,OLSR,27
51,1744,218,10,OLSR,27
52,4632,579,10,OLSR,27
53,3144,393,10,OLSR,27
54,3520,440,10,OLSR,27
55,4104,513,10,OLSR,27
56,3904,488,10,OLSR,27
57,3976,497,10,OLSR,27
58,5280,660,10,OLSR,27
59,3752,469,10,OLSR,27
