SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,12,AODV,27
1,3864,483,12,AODV,27
2,4456,557,12,AODV,27
3,3624,453,12,AODV,27
4,3408,426,12,AODV,27
5,3088,386,12,AODV,27
6,1808,226,12,AODV,27
7,3688,461,12,AODV,27
8,2984,373,12,AODV,27
9,2872,359,12,AODV,27
10,2728,341,12,AODV,27
11,2904,363,12,AODV,27
12,2040,255,12,AODV,27
13,3128,391,12,AODV,27
14,3600,450,12,AODV,27
15,2560,320,12,AODV,27
16,3256,407,12,AODV,27
17,2504,313,12,AODV,27
18,2792,349,12,AODV,27
19,3608,451,12,AODV,27
20,3584,448,12,AODV,27
21,3312,414,12,AODV,27
22,3576,447,12,AODV,27
23,2904,363,12,AODV,27
24,2720,340,12,AODV,27
25,2760,345,12,AODV,27
26,2456,307,12,AODV,27
27,3240,405,12,AODV,27
28,3232,404,12,AODV,27
29,2352,294,12,AODV,27
30,1824,228,12,AODV,27
31,1816,227,12,AODV,27
32,2240,280,12,AODV,27
33,2696,337,12,AODV,27
34,2720,340,12,AODV,27
35,2544,318,12,AODV,27
36,2192,274,12,AODV,27
37,2040,255,12,AODV,27
38,1984,248,12,AODV,27
39,2336,292,12,AODV,27
40,2944,368,12,AODV,27
41,2288,286,12,AODV,27
42,2064,258,12,AODV,27
43,2200,275,12,AODV,27
44,3336,417,12,AODV,27
45,3352,419,12,AODV,27
46,3416,427,12,AODV,27
47,3192,399,12,AODV,27
48,2696,337,12,AODV,27
49,2896,362,12,AODV,27
50,2392,299,12,AODV,27
51,2504,313,12,AODV,27
52,2328,291,12,AODV,27
53,2056,257,12,AODV,27
54,2696,337,12,AODV,27
55,3400,425,12,AODV,27
56,2072,259,12,AODV,27
57,2776,347,12,AODV,27
58,2832,354,12,AODV,27
59,2784,348,12,AODV,27
