SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,7,AODV,27
1,3016,377,7,AODV,27
2,3336,417,7,AODV,27
3,3160,395,7,AODV,27
4,3192,399,7,AODV,27
5,2984,373,7,AODV,27
6,2872,359,7,AODV,27
7,3296,412,7,AODV,27
8,4080,510,7,AODV,27
9,3768,471,7,AODV,27
10,3776,472,7,AODV,27
11,3224,403,7,AODV,27
12,2184,273,7,AODV,27
13,2416,302,7,AODV,27
14,2896,362,7,AODV,27
15,2648,331,7,AODV,27
16,2408,301,7,AODV,27
17,2496,312,7,AODV,27
18,2360,295,7,AODV,27
19,2192,274,7,AODV,27
20,1432,179,7,AODV,27
21,2384,298,7,AODV,27
22,2536,317,7,AODV,27
23,3040,380,7,AODV,27
24,2896,362,7,AODV,27
25,2520,315,7,AODV,27
26,3400,425,7,AODV,27
27,3232,404,7,AODV,27
28,1752,219,7,AODV,27
29,3504,438,7,AODV,27
30,2016,252,7,AODV,27
31,3344,418,7,AODV,27
32,3360,420,7,AODV,27
33,3088,386,7,AODV,27
34,3136,392,7,AODV,27
35,2832,354,7,AODV,27
36,3768,471,7,AODV,27
37,3384,423,7,AODV,27
38,2616,327,7,AODV,27
39,2616,327,7,AODV,27
40,3744,468,7,AODV,27
41,3832,479,7,AODV,27
42,3416,427,7,AODV,27
43,3224,403,7,AODV,27
44,3864,483,7,AODV,27
45,3480,435,7,AODV,27
46,3936,492,7,AODV,27
47,3456,432,7,AODV,27
48,3896,487,7,AODV,27
49,4000,500,7,AODV,27
50,4408,551,7,AODV,27
51,4736,592,7,AODV,27
52,4528,566,7,AODV,27
53,4520,565,7,AODV,27
54,4336,542,7,AODV,27
55,2888,361,7,AODV,27
56,3920,490,7,AODV,27
57,4352,544,7,AODV,27
58,4456,557,7,AODV,27
59,4424,553,7,AODV,27
