SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,OLSR,27
1,0,0,5,OLSR,27
2,0,0,5,OLSR,27
3,1600,200,5,OLSR,27
4,3000,375,5,OLSR,27
5,3448,431,5,OLSR,27
6,3304,413,5,OLSR,27
7,3952,494,5,OLSR,27
8,3920,490,5,OLSR,27
9,2920,365,5,OLSR,27
10,1488,186,5,OLSR,27
11,1376,172,5,OLSR,27
12,2120,265,5,OLSR,27
13,2832,354,5,OLSR,27
14,3256,407,5,OLSR,27
15,2224,278,5,OLSR,27
16,1776,222,5,OLSR,27
17,3040,380,5,OLSR,27
18,3456,432,5,OLSR,27
19,2616,327,5,OLSR,27
20,2984,373,5,OLSR,27
21,3392,424,5,OLSR,27
22,4216,527,5,OLSR,27
23,4048,506,5,OLSR,27
24,3816,477,5,OLSR,27
25,3984,498,5,OLSR,27
26,2584,323,5,OLSR,27
27,2336,292,5,OLSR,27
28,2080,260,5,OLSR,27
29,3344,418,5,OLSR,27
30,4736,592,5,OLSR,27
31,3000,375,5,OLSR,27
32,2488,311,5,OLSR,27
33,2888,361,5,OLSR,27
34,2424,303,5,OLSR,27
35,2216,277,5,OLSR,27
36,2168,271,5,OLSR,27
37,1808,226,5,OLSR,27
38,1296,162,5,OLSR,27
39,2208,276,5,OLSR,27
40,2752,344,5,OLSR,27
41,3560,445,5,OLSR,27
42,4360,545,5,OLSR,27
43,3592,449,5,OLSR,27
44,1600,200,5,OLSR,27
45,2528,316,5,OLSR,27
46,4200,525,5,OLSR,27
47,4336,542,5,OLSR,27
48,4392,549,5,OLSR,27
49,3896,487,5,OLSR,27
50,3832,479,5,OLSR,27
51,4232,529,5,OLSR,27
52,4464,558,5,OLSR,27
53,4000,500,5,OLSR,27
54,4000,500,5,OLSR,27
55,4408,551,5,OLSR,27
56,4440,555,5,OLSR,27
57,4600,575,5,OLSR,27
58,4872,609,5,OLSR,27
59,3400,425,5,OLSR,27
