SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,7,OLSR,27
1,0,0,7,OLSR,27
2,0,0,7,OLSR,27
3,992,124,7,OLSR,27
4,1128,141,7,OLSR,27
5,4248,531,7,OLSR,27
6,4200,525,7,OLSR,27
7,3360,420,7,OLSR,27
8,4760,595,7,OLSR,27
9,5248,656,7,OLSR,27
10,5720,715,7,OLSR,27
11,5376,672,7,OLSR,27
12,4944,618,7,OLSR,27
13,4528,566,7,OLSR,27
14,4856,607,7,OLSR,27
15,3560,445,7,OLSR,27
16,4464,558,7,OLSR,27
17,4672,584,7,OLSR,27
18,5752,719,7,OLSR,27
19,3480,435,7,OLSR,27
20,3744,468,7,OLSR,27
21,2464,308,7,OLSR,27
22,5128,641,7,OLSR,27
23,5104,638,7,OLSR,27
24,4912,614,7,OLSR,27
25,3536,442,7,OLSR,27
26,3432,429,7,OLSR,27
27,3640,455,7,OLSR,27
28,1216,152,7,OLSR,27
29,4064,508,7,OLSR,27
30,4624,578,7,OLSR,27
31,4632,579,7,OLSR,27
32,5032,629,7,OLSR,27
33,4432,554,7,OLSR,27
34,2752,344,7,OLSR,27
35,3712,464,7,OLSR,27
36,4208,526,7,OLSR,27
37,4160,520,7,OLSR,27
38,3576,447,7,OLSR,27
39,3120,390,7,OLSR,27
40,3568,446,7,OLSR,27
41,4200,525,7,OLSR,27
42,3568,446,7,OLSR,27
43,3744,468,7,OLSR,27
44,4056,507,7,OLSR,27
45,3088,386,7,OLSR,27
46,3096,387,7,OLSR,27
47,3888,486,7,OLSR,27
48,4384,548,7,OLSR,27
49,3888,486,7,OLSR,27
50,4776,597,7,OLSR,27
51,3368,421,7,OLSR,27
52,3880,485,7,OLSR,27
53,4416,552,7,OLSR,27
54,4584,573,7,OLSR,27
55,4504,563,7,OLSR,27
56,3992,499,7,OLSR,27
57,3384,423,7,OLSR,27
58,3080,385,7,OLSR,27
59,1800,225,7,OLSR,27
